MW,FaultType,Rjb,VS30,PGA
4.05,Yanal Atımlı,290.41,680.05,0.0016147160956123587
4.05,Yanal Atımlı,452.13,259.0,0.0007156906314212586
4.05,Yanal Atımlı,220.91,365.0,9.510185529346943e-05
4.05,Yanal Atımlı,168.1,1188.0,2.4886567908211047e-05
4.05,Yanal Atımlı,55.85,196.0,0.004474740024903687
4.05,Yanal Atımlı,183.17,698.72,0.0004660986020272749
4.05,Yanal Atımlı,126.37,338.28,0.000617841977219062
4.05,Yanal Atımlı,251.33,760.0,4.346005313963617e-05
4.05,Yanal Atımlı,148.98,244.0,0.001345208389354709
4.05,Yanal Atımlı,93.93,352.0,0.0004549877691018298
4.05,Yanal Atımlı,215.43,388.68,0.00023533227216395545
4.05,Yanal Atımlı,108.32,786.0,0.0003493005042234122
4.05,Yanal Atımlı,253.94,639.74,2.1405490047415406e-05
4.05,Yanal Atımlı,107.0,763.0,0.0004481207914481318
4.05,Yanal Atımlı,126.41,704.1,0.0010304731309149454
4.05,Yanal Atımlı,183.96,360.0,0.00044284090192001237
4.05,Yanal Atımlı,188.61,355.87,0.00017935650950274987
4.05,Yanal Atımlı,65.08,309.0,0.0008632726614760484
4.05,Yanal Atımlı,284.35,750.25,1.508828205893567e-05
4.05,Yanal Atımlı,63.02,253.0,0.0020259502151384963
4.05,Yanal Atımlı,84.0,827.0,0.0009065676135905695
4.05,Yanal Atımlı,192.25,302.09,0.0002715492635938643
4.05,Yanal Atımlı,465.5,225.0,0.00020940179662963737
4.05,Yanal Atımlı,28.73,242.0,0.0032532714404047134
3.6,Yanal Atımlı,40.15,375.0,0.0015518215886822172
3.6,Yanal Atımlı,84.24,347.0,0.0002689336060845502
3.6,Yanal Atımlı,112.94,361.0,0.0006835691000348465
3.6,Yanal Atımlı,152.83,348.0,8.997950642251823e-05
3.6,Yanal Atımlı,83.3,499.0,0.0005953993786087788
3.6,Yanal Atımlı,147.58,796.0,0.00019354216800092944
4.5,Yanal Atımlı,26.37,453.67,0.013258388587303315
3.6,Yanal Atımlı,61.0,356.0,0.0009636089499428697
3.6,Yanal Atımlı,155.91,402.0,0.0001350535441300968
3.6,Yanal Atımlı,104.77,461.0,0.0004079652232544583
3.6,Yanal Atımlı,97.77,652.2,0.000880414940120907
3.6,Yanal Atımlı,142.39,895.0,0.00010672182702076458
3.6,Yanal Atımlı,42.73,927.0,0.0004706327421233036
3.6,Yanal Atımlı,80.94,668.72,0.0001320254024979284
3.6,Yanal Atımlı,91.41,372.0,0.00037601008244664134
3.6,Yanal Atımlı,83.39,1242.0,0.0007595374239535338
3.6,Yanal Atımlı,161.44,805.0,0.00020339986082851678
3.6,Yanal Atımlı,85.7,393.26,0.0002713875819538175
3.6,Yanal Atımlı,140.65,679.0,7.061633464949876e-05
3.6,Yanal Atımlı,69.03,434.29,0.00036371416487215614
3.6,Yanal Atımlı,133.58,726.0,0.00019571531951487602
3.6,Yanal Atımlı,224.28,981.0,3.146166147074881e-05
3.6,Yanal Atımlı,180.7,644.0,2.2226569079594812e-05
3.6,Yanal Atımlı,76.29,622.32,0.001764259405141931
3.6,Yanal Atımlı,90.73,388.0,0.0007022189977425703
3.6,Yanal Atımlı,51.65,417.99,0.0013145244930819091
3.6,Yanal Atımlı,242.26,448.0,3.555306464314996e-05
3.6,Yanal Atımlı,110.97,378.0,0.0005567430019854493
3.6,Yanal Atımlı,81.06,680.05,3.018989158592657e-05
3.6,Yanal Atımlı,135.02,303.0,0.0001746363627091735
